rssi,ts,anchor
-53,5646305.0897703,1011110002
-74,5646305.1326046,1011110007
-58,5646305.4448161,1011110003
-44,5646305.5926774,1011110002
-63,5646305.9428573,1011110003
-50,5646306.0943439,1011110002
-53,5646306.5937192,1011110002
-75,5646306.6032813,1011110001
-51,5646307.1013129,1011110002
-70,5646307.6344261,1011110004
-65,5646308.1432967,1011110004
-73,5646308.1684391,1011110007
-68,5646308.6145749,1011110001
-45,5646308.6200671,1011110002
-65,5646308.6431327,1011110004
-73,5646309.1164787,1011110001
-70,5646309.1500072,1011110004
-62,5646309.4855909,1011110003
-50,5646309.6286891,1011110002
-73,5646309.6908598,1011110007
-62,5646310.4993577,1011110003
-62,5646311.0051692,1011110003
-49,5646311.1427093,1011110002
-70,5646311.6209452,1011110001
-48,5646311.6503828,1011110002
-53,5646312.1499488,1011110002
-67,5646312.6841559,1011110004
-62,5646313.0211723,1011110003
-62,5646313.5287819,1011110003
-65,5646313.6890996,1011110004
-61,5646314.0341971,1011110003
-70,5646314.1358466,1011110001
-70,5646314.1897392,1011110004
-63,5646314.6667149,1011110002
-64,5646315.5481794,1011110003
-68,5646316.7107241,1011110004
-73,5646317.1554203,1011110005
-64,5646317.6652479,1011110001
-69,5646318.2061946,1011110002
-63,5646318.7146597,1011110002
-62,5646319.2268047,1011110004
-78,5646321.1087744,1011110009
-58,5646321.2030025,1011110001
-74,5646321.6231182,1011110006
-69,5646321.7103608,1011110001
-67,5646321.7381022,1011110002
-59,5646322.2521205,1011110004
-72,5646322.5524831,1011110035
-69,5646322.7133210,1011110001
-59,5646322.7568014,1011110004
-58,5646322.7968447,1011110007
-72,5646323.2069805,1011110005
-53,5646323.8101678,1011110007
-67,5646324.7223053,1011110005
-61,5646325.1431437,1011110003
-56,5646325.3207378,1011110007
-66,5646326.1598351,1011110003
-55,5646326.2887061,1011110004
-68,5646326.7889690,1011110002
-55,5646326.7943745,1011110004
-63,5646327.6006188,1011110035
-71,5646328.1840422,1011110009
-62,5646328.7575743,1011110005
-70,5646328.8196931,1011110004
-77,5646329.7585390,1011110013
-60,5646329.8335562,1011110004
-54,5646330.7781761,1011110005
-51,5646331.2843270,1011110005
-74,5646331.4326146,1011110011
-55,5646331.6975980,1011110006
-74,5646331.8537626,1011110004
-76,5646331.9700663,1011110010
-50,5646332.2964799,1011110005
-56,5646332.6442449,1011110035
-73,5646332.8653338,1011110004
-69,5646333.1443529,1011110035
-75,5646333.2330029,1011110003
-71,5646333.3728969,1011110004
-62,5646333.7357521,1011110009
-60,5646334.1573396,1011110035
-62,5646334.2282555,1011110006
-54,5646334.3101163,1011110005
-76,5646334.3494575,1011110002
-66,5646334.4685369,1011110011
-71,5646334.6424811,1011120002
-54,5646334.7287998,1011110006
-65,5646334.9792306,1011110011
-75,5646335.6986504,1011110015
-75,5646335.8645368,1011110002
-62,5646336.1720419,1011110035
-66,5646336.2961762,1011120001
-67,5646336.4782331,1011110011
-67,5646336.7032433,1011120001
-57,5646336.8368971,1011110005
-66,5646336.9107518,1011120001
-74,5646336.9232719,1011110019
-50,5646337.2545290,1011110006
-71,5646337.7530165,1011110006
-57,5646338.6925344,1011110035
-60,5646338.8418782,1011110013
-61,5646339.1994746,1011110035
-77,5646339.9189477,1011110002
-74,5646340.2231779,1011110019
-63,5646340.3109057,1011110009
-61,5646340.3608277,1011110013
-59,5646340.5227640,1011110011
-69,5646340.6392381,1011110019
-73,5646340.8727465,1011110005
-77,5646341.0298271,1011110011
-67,5646341.2147820,1011120001
-71,5646342.0247538,1011120002
-73,5646342.4638331,1011110004
-70,5646342.6099684,1011120003
-72,5646342.8823898,1011110005
-67,5646343.2544148,1011120001
-71,5646343.3322842,1011110021
-61,5646343.4552560,1011120001
-66,5646343.4609182,1011120002
-58,5646343.5507989,1011110011
-68,5646343.8398786,1011120003
-67,5646344.0567148,1011110011
-62,5646344.2882123,1011120002
-72,5646344.3231456,1011110019
-80,5646344.4399078,1011110024
-44,5646344.5994315,1011110010
-57,5646344.6855631,1011120001
-64,5646344.7791617,1011110033
-73,5646344.8989069,1011110013
-48,5646345.0950713,1011120001
-71,5646345.1055343,1011120002
-56,5646345.1122825,1011110034
-48,5646345.5107234,1011120001
-53,5646345.5614631,1011110011
-45,5646345.6050062,1011110010
-78,5646345.6841669,1011120003
-47,5646345.7203467,1011120001
-70,5646345.8223782,1011110006
-73,5646345.8835206,1011120003
-70,5646346.1213789,1011110014
-76,5646346.3067217,1011110033
-47,5646346.3397231,1011120001
-56,5646346.5682819,1011110011
-68,5646346.6305430,1011110014
-52,5646346.7493072,1011120001
-60,5646346.7843037,1011110035
-77,5646346.8104808,1011110033
-60,5646347.1247170,1011110034
