rssi,ts,anchor
-76,4352450.2687173,1011110006
-68,4352450.3271997,1011110003
-81,4352450.3874311,1011110035
-78,4352450.3905935,1011110005
-69,4352450.5441425,1011110001
-69,4352450.6579821,1011110004
-53,4352450.6944094,1011110002
-51,4352453.3544168,1011110002
-68,4352453.4081376,1011110001
-80,4352453.4261849,1011110007
-69,4352453.5880768,1011110003
-70,4352453.6843410,1011110004
-76,4352454.2928157,1011110005
-77,4352454.7681124,1011110006
-57,4352456.2725608,1011110001
-77,4352456.6009488,1011110006
-66,4352456.7238419,1011110004
-70,4352456.8757467,1011110003
-68,4352457.0528784,1011110002
-75,4352457.1379671,1011110035
-78,4352457.1451015,1011110007
-73,4352457.7675838,1011110005
-79,4352459.2379940,1011110034
-51,4352459.3434420,1011110003
-71,4352459.4189160,1011110005
-78,4352459.4679236,1011110006
-77,4352459.6056492,1011110007
-68,4352459.7475510,1011110004
-76,4352459.9332509,1011110013
-79,4352459.9918993,1011110035
-81,4352460.1429501,1011110002
-69,4352460.1723387,1011110001
-74,4352461.4944065,1011110034
-78,4352461.8526912,1011120001
-75,4352461.9728251,1011110011
-71,4352462.3501880,1011110006
-80,4352462.5421774,1011110009
-75,4352462.7255764,1011110034
-77,4352462.7820728,1011110004
-78,4352462.8156843,1011110013
-72,4352462.8472991,1011110001
-69,4352463.0543542,1011110035
-56,4352463.0732570,1011110007
-75,4352463.2027938,1011110011
-76,4352463.2346635,1011110003
-71,4352463.4321401,1011110002
-65,4352463.5331185,1011110005
-81,4352463.9244411,1011120006
-67,4352465.2758794,1011110003
-62,4352465.3178091,1011110004
-44,4352465.3440211,1011110007
-68,4352465.4157064,1011110006
-80,4352465.5159695,1011110001
-58,4352465.5764537,1011110005
-74,4352465.8154931,1011110009
-72,4352465.9237449,1011110035
-68,4352466.7122405,1011110002
-70,4352467.7306521,1011110011
-78,4352468.0224884,1011110034
-71,4352468.3353190,1011110003
-64,4352468.3602984,1011110002
-75,4352468.4852915,1011110033
-80,4352468.5097289,1011110014
-61,4352468.5921853,1011110007
-74,4352468.8058152,1011110035
-71,4352468.8431931,1011110005
-53,4352468.8459918,1011110004
-57,4352468.9027658,1011110006
-71,4352468.9575386,1011110011
-72,4352469.3217323,1011110009
-80,4352469.6807928,1011110019
-80,4352469.9548280,1011110010
-72,4352470.4833674,1011110034
-70,4352470.4943063,1011120001
-76,4352470.7620022,1011110013
-77,4352470.8798060,1011110015
-72,4352471.2729623,1011110035
-63,4352471.3616800,1011110004
-59,4352471.3658094,1011110006
-71,4352471.3816810,1011110013
-68,4352471.4747980,1011110007
-72,4352471.6058159,1011110010
-56,4352471.6933882,1011110005
-77,4352471.7522309,1011120003
-77,4352471.9894524,1011110009
-73,4352472.0179050,1011110011
-70,4352472.7449102,1011120001
-76,4352473.0008698,1011110014
-79,4352473.1586018,1011110019
-74,4352473.5546927,1011110034
-82,4352474.1559818,1011110015
-71,4352474.3367598,1011110035
-59,4352474.3557415,1011110005
-78,4352474.3604090,1011120006
-80,4352474.4181826,1011120003
-58,4352474.4451594,1011110006
-70,4352474.5420582,1011110007
-80,4352474.7797265,1011120002
-62,4352474.8378906,1011110009
-72,4352474.8994572,1011110004
-77,4352474.9894593,1011120001
-79,4352475.0481939,1011110014
-70,4352475.0993285,1011110010
-78,4352475.2611032,1011110033
-75,4352475.4683239,1011110013
-74,4352475.4882717,1011110011
-72,4352475.6180940,1011110034
-74,4352476.2259357,1011110019
-76,4352476.8212855,1011110015
-77,4352477.1195838,1011110016
-72,4352477.3221791,1011110011
-55,4352477.3260469,1011110006
-78,4352477.3283546,1011110010
-73,4352477.4206426,1011110004
-76,4352477.4233241,1011120006
-68,4352477.6058297,1011110035
-76,4352477.6542623,1011110034
-72,4352477.8102896,1011110007
-68,4352477.9263518,1011110014
-71,4352478.0805392,1011120003
-75,4352478.2540045,1011120001
-70,4352478.3249388,1011110033
-69,4352478.7348399,1011110009
-75,4352478.8542745,1011110005
-68,4352479.3710859,1011110013
-73,4352479.4918604,1011110015
-70,4352479.9156232,1011110019
-61,4352480.2754638,1011110035
-67,4352480.2878549,1011110005
-51,4352480.3837855,1011110009
-73,4352480.4124579,1011110011
-73,4352480.5082867,1011110015
-67,4352480.5125074,1011110034
-68,4352480.6020522,1011110013
-72,4352480.6040804,1011110006
-68,4352480.6930974,1011110007
-80,4352480.7245688,1011110023
-66,4352480.7432847,1011120003
-71,4352480.8145671,1011110010
-76,4352480.9935682,1011110014
-75,4352481.1160164,1011120001
-76,4352481.2254486,1011110021
-77,4352481.3993516,1011110033
-81,4352481.5055797,1011110022
-70,4352481.9563303,1011120002
-69,4352482.3738000,1011110019
-79,4352482.4537070,1011110018
-75,4352482.8564050,1011110016
-67,4352483.2735631,1011110006
-55,4352483.3485141,1011110035
-70,4352483.3589168,1011110015
-56,4352483.4484832,1011110010
-65,4352483.4497590,1011110033
-70,4352483.4756343,1011110016
-73,4352483.5461192,1011120006
-67,4352483.5694096,1011120001
-71,4352483.6512628,1011110014
-78,4352483.6590128,1011110029
-77,4352483.6655929,1011110013
-61,4352483.7167108,1011110011
-68,4352483.8124001,1011120003
-73,4352483.9060581,1011110021
-74,4352483.9636257,1011110007
-74,4352483.9862194,1011110005
-75,4352484.1894100,1011110032
-72,4352484.2063076,1011110019
-59,4352484.4014471,1011110034
-77,4352485.0934527,1011110009
-76,4352485.3413324,1011120005
-77,4352485.9914742,1011110004
-46,4352486.3110554,1011110010
-65,4352486.3199739,1011110033
-71,4352486.3262055,1011110006
-64,4352486.3327880,1011110009
-71,4352486.4570100,1011110019
-54,4352486.6332004,1011110035
-46,4352486.8446462,1011120001
-70,4352486.8579886,1011110034
-71,4352487.1280451,1011110013
-54,4352487.2022769,1011110011
-67,4352487.2797971,1011120002
-76,4352487.3798461,1011110016
-73,4352487.4912932,1011120003
-80,4352487.5667803,1011110018
-74,4352487.6492009,1011110005
-72,4352487.6736383,1011110015
-78,4352488.0583019,1011120006
-74,4352488.1929524,1011110021
-63,4352488.3591952,1011110014
-74,4352488.4661551,1011110007
-80,4352488.4826417,1011110022
-73,4352489.1860569,1011110020
-77,4352489.3911512,1011110014
-71,4352489.4202054,1011110021
-75,4352489.4262581,1011110016
-49,4352489.4417968,1011110011
-76,4352489.5090129,1011110032
-68,4352489.5423305,1011120002
-58,4352489.5901763,1011110010
-59,4352489.6028028,1011110033
-61,4352489.7161458,1011110034
-62,4352489.7200377,1011110035
-53,4352489.7250829,1011120001
-69,4352489.7489920,1011120003
-54,4352489.7942786,1011110013
-74,4352489.9039741,1011110007
-62,4352489.9365396,1011110015
-72,4352490.0103447,1011110009
-80,4352490.6184428,1011110020
-69,4352491.0347118,1011110006
-75,4352491.4584551,1011110018
-77,4352491.7338271,1011110005
-72,4352491.7648332,1011110023
-78,4352491.7822180,1011110019
-67,4352492.3024917,1011110011
-56,4352492.4689095,1011110014
-87,4352492.4996188,1011110021
-79,4352492.5413923,1011120005
-74,4352492.5583608,1011110005
-61,4352492.5736587,1011110034
-61,4352492.6052778,1011120002
-77,4352492.6603289,1011110033
-57,4352492.6628571,1011110013
-75,4352492.7540646,1011120006
-77,4352492.8730402,1011110029
-70,4352492.9036105,1011110016
-67,4352492.9968719,1011120001
-61,4352493.0331950,1011120003
-72,4352493.2001789,1011110035
-74,4352493.2046382,1011110032
-75,4352493.2834055,1011110020
-80,4352493.2913630,1011110018
-67,4352493.4913013,1011110010
-77,4352493.5842772,1011110007
-73,4352493.8234179,1011110022
-67,4352493.8334107,1011110015
-73,4352494.3160114,1011110009
-67,4352494.6423228,1011110019
-80,4352494.8209918,1011120004
-61,4352495.2770405,1011120002
-72,4352495.3189478,1011110006
-63,4352495.3250251,1011110020
-36,4352495.3388948,1011110014
-68,4352495.3648643,1011110011
-57,4352495.4491291,1011110035
-76,4352495.4725604,1011110032
-62,4352495.4771705,1011110015
-46,4352495.5103478,1011110013
-81,4352495.5746517,1011110030
-74,4352495.6351066,1011120001
-75,4352495.6618242,1011110023
-57,4352495.6663418,1011110034
-56,4352495.6925464,1011120003
-70,4352495.7703636,1011110021
-72,4352495.8141725,1011120006
-81,4352495.8723302,1011110022
-50,4352496.1461935,1011110033
-69,4352496.3552780,1011110018
-74,4352496.6226981,1011120005
-80,4352496.6519158,1011110007
-66,4352496.6822269,1011110019
-78,4352496.7692182,1011110029
-63,4352496.9838316,1011110016
-74,4352497.1798940,1011110009
-71,4352497.4634645,1011120004
-74,4352497.5238030,1011110031
-71,4352497.6025856,1011110010
-76,4352498.1474504,1011110024
-76,4352498.2727697,1011120005
-72,4352498.3188670,1011110035
-52,4352498.3303940,1011110034
-52,4352498.3511052,1011110015
-63,4352498.3807232,1011110013
-71,4352498.3851850,1011110020
-58,4352498.4113774,1011110014
-61,4352498.5131509,1011110019
-72,4352498.5314903,1011110022
-59,4352498.6027064,1011110033
-71,4352498.6318474,1011110021
-72,4352498.6355484,1011110010
-70,4352498.6947429,1011120004
-61,4352498.7572076,1011120003
-79,4352498.8459816,1011110011
-75,4352498.9520228,1011110032
-71,4352498.9627049,1011120002
-77,4352499.0188458,1011110009
-60,4352499.2314854,1011110018
-69,4352499.7436793,1011110023
-57,4352499.8626804,1011110016
-82,4352500.3416734,1011110007
-79,4352500.4495246,1011110029
-71,4352500.7207725,1011120006
-55,4352501.2736113,1011110033
-69,4352501.2760315,1011110014
-73,4352501.2942576,1011110018
-75,4352501.3792048,1011110023
-59,4352501.3914552,1011110034
-72,4352501.4151895,1011110032
-46,4352501.4915557,1011110016
-71,4352501.4992530,1011110021
-72,4352501.5441835,1011120006
-50,4352501.5725737,1011110019
-67,4352501.6108482,1011110035
-67,4352501.6689882,1011110020
-73,4352501.8102088,1011110022
-74,4352501.8332946,1011120002
-71,4352501.8418653,1011110015
-79,4352501.8726289,1011110029
-64,4352501.9623950,1011120005
-69,4352501.9945786,1011120001
-72,4352502.0217812,1011120003
-71,4352502.2492454,1011110024
-71,4352502.3228486,1011110010
-71,4352502.4746370,1011110013
-77,4352502.7738941,1011110026
-77,4352503.0092218,1011110007
-58,4352503.0154958,1011120004
-70,4352504.2771091,1011110022
-73,4352504.2998545,1011110015
-71,4352504.3239110,1011110006
-82,4352504.3347578,1011110029
-52,4352504.3549199,1011110033
-49,4352504.3688431,1011110018
-74,4352504.4427826,1011110023
-77,4352504.4830704,1011120003
-59,4352504.5665164,1011110016
-54,4352504.6541779,1011110034
-75,4352504.6925948,1011110031
-73,4352504.8102469,1011120006
-67,4352504.8151872,1011120005
-74,4352504.8351398,1011110026
-71,4352504.8402102,1011110019
-70,4352504.8648298,1011120001
-72,4352504.8741958,1011110035
-60,4352505.0802796,1011110032
-79,4352505.1403184,1011110020
-73,4352505.4088924,1011110010
-63,4352505.5819974,1011110014
-70,4352505.7383888,1011110024
-80,4352506.1887803,1011110009
-82,4352506.2851801,1011110007
-58,4352506.4024246,1011110021
-76,4352506.5704763,1011110013
-76,4352507.1443901,1011110005
-75,4352507.2935784,1011110026
-74,4352507.3025589,1011120004
-77,4352507.3041222,1011110023
-68,4352507.3229454,1011110032
-63,4352507.4403861,1011110016
-62,4352507.5393634,1011110022
-77,4352507.5749793,1011110031
-73,4352507.5998707,1011110029
-69,4352507.6306424,1011110014
-52,4352507.7204452,1011110019
-73,4352507.7491670,1011120001
-75,4352507.7827950,1011110024
-54,4352507.8162551,1011110020
-58,4352507.8362622,1011110033
-66,4352507.9328742,1011110034
-76,4352508.0100534,1011120002
-78,4352508.0142810,1011110013
-59,4352508.0568516,1011110021
-65,4352508.1652298,1011110035
-62,4352508.6737981,1011110018
-61,4352508.8959572,1011120005
-71,4352508.9812391,1011120003
-56,4352509.3118639,1011120006
-80,4352509.3987181,1011110025
-70,4352509.8783772,1011110015
-43,4352510.2855401,1011110020
-51,4352510.3328912,1011120006
-68,4352510.3645377,1011110023
-69,4352510.3890276,1011110034
-59,4352510.3942389,1011110032
-73,4352510.4556124,1011110006
-64,4352510.4991250,1011110033
-69,4352510.5045493,1011110016
-72,4352510.5093038,1011110010
-59,4352510.5113304,1011110018
-70,4352510.6366272,1011110035
-72,4352510.6600659,1011110029
-72,4352510.6619258,1011110031
-68,4352510.7213280,1011110021
-74,4352510.7471163,1011120005
-76,4352510.8106320,1011120001
-68,4352510.8403411,1011110024
-54,4352510.9831934,1011110019
-72,4352510.9906175,1011110026
-58,4352511.0242641,1011110022
-76,4352511.0268030,1011110025
-70,4352511.1060047,1011110014
-76,4352511.3820324,1011110028
-67,4352511.7108636,1011110013
-74,4352512.1495812,1011110027
-79,4352512.1588235,1011110030
-63,4352513.2967730,1011110024
-71,4352513.3498116,1011110013
-74,4352513.3651142,1011110027
-55,4352513.3771124,1011110021
-70,4352513.3806901,1011110016
-72,4352513.4426074,1011110026
-78,4352513.4791036,1011120003
-71,4352513.5173028,1011110035
-68,4352513.5717137,1011110014
-71,4352513.6554022,1011110019
-73,4352513.8073320,1011120005
-39,4352513.8998983,1011110022
-77,4352513.9013991,1011110025
-77,4352513.9938943,1011110020
-58,4352513.9955175,1011110033
-53,4352514.2294805,1011110023
-69,4352514.2893944,1011110034
-77,4352514.3548739,1011110031
-55,4352514.4741204,1011110032
-67,4352514.5352943,1011110029
-67,4352514.8252554,1011110018
-76,4352514.9265077,1011120001
-74,4352515.0292697,1011120006
-75,4352515.4373066,1011110030
-81,4352515.6714394,1011120004
-78,4352515.8247378,1011110015
-68,4352516.3298459,1011110019
-60,4352516.3559606,1011110022
-73,4352516.4157102,1011110013
-74,4352516.4514475,1011110016
-57,4352516.4831638,1011110023
-60,4352516.5334406,1011110026
-80,4352516.5736382,1011110025
-74,4352516.6039095,1011110031
-73,4352516.6354916,1011110014
-58,4352516.6614344,1011110020
-74,4352516.6913538,1011110021
-68,4352516.7468908,1011110034
-56,4352516.7991576,1011110024
-63,4352516.8622949,1011110033
-75,4352516.8694050,1011110010
-77,4352516.9805684,1011110029
-80,4352517.0562048,1011110027
-67,4352517.0859189,1011110018
-62,4352517.1466942,1011110032
-78,4352517.3849220,1011120001
-77,4352517.4139645,1011110035
-78,4352517.5943644,1011110005
-73,4352518.0746362,1011120006
-68,4352518.3141329,1011110030
