rssi,ts,anchor
-73,4352853.0552649,1011110007
-76,4352853.6238489,1011110001
-69,4352853.6640460,1011110003
-53,4352853.6936109,1011110002
-71,4352853.9945199,1011110004
-77,4352855.7798076,1011110005
-77,4352855.8737040,1011110035
-76,4352856.0859656,1011110001
-46,4352856.1425059,1011110002
-61,4352856.3290117,1011110003
-61,4352856.5153220,1011110004
-74,4352856.6030393,1011110005
-75,4352857.9490352,1011110007
-75,4352858.5135036,1011110006
-76,4352858.7631252,1011110035
-77,4352859.1230900,1011110006
-76,4352859.1686895,1011110035
-74,4352859.2133212,1011110002
-71,4352859.3787112,1011110007
-73,4352859.4675117,1011110005
-78,4352859.5034986,1011110034
-68,4352859.5403152,1011110004
-47,4352859.6024866,1011110003
-73,4352859.7860646,1011110001
-74,4352860.5584912,1011110009
-72,4352861.1054811,1011110011
-78,4352861.7306414,1011110013
-71,4352862.1437836,1011110005
-58,4352862.2602389,1011110007
-74,4352862.3281982,1011110011
-68,4352862.6028214,1011110006
-75,4352862.6355441,1011110033
-69,4352862.6908736,1011110003
-79,4352862.7528465,1011110013
-70,4352862.8439193,1011110001
-76,4352863.0214558,1011110009
-68,4352863.0544760,1011110035
-48,4352863.0843260,1011110004
-71,4352863.1034570,1011110002
-80,4352864.8787899,1011120001
-65,4352865.1423542,1011110002
-53,4352865.1473279,1011110007
-62,4352865.2003260,1011110005
-77,4352865.2072918,1011110011
-77,4352865.3656657,1011110003
-60,4352865.4685683,1011110006
-63,4352865.6190109,1011110004
-71,4352866.1021993,1011110009
-76,4352866.1119435,1011110033
-69,4352866.6114571,1011110014
-69,4352866.9249623,1011120001
-71,4352867.3433752,1011110035
-74,4352867.4925740,1011110013
-74,4352867.4958663,1011110019
-74,4352867.7012529,1011110034
-76,4352867.9140568,1011120003
-76,4352868.1689911,1011110033
-69,4352868.2023780,1011110010
-79,4352868.2698584,1011110014
-64,4352868.3547349,1011110009
-78,4352868.3603990,1011120001
-76,4352868.5401015,1011120002
-69,4352868.6920710,1011110005
-67,4352868.7832079,1011110035
-73,4352868.8375490,1011110003
-62,4352869.0420034,1011110007
-68,4352869.1654868,1011110004
-75,4352869.3257172,1011120006
-70,4352869.3456912,1011110013
-55,4352869.3821883,1011110006
-72,4352869.5179508,1011110011
-69,4352869.9478145,1011110034
-70,4352870.5826845,1011120003
-64,4352871.0852084,1011110007
-77,4352871.1704366,1011110034
-69,4352871.1769793,1011110019
-80,4352871.1997936,1011120003
-71,4352871.2101698,1011110009
-73,4352871.2355008,1011110033
-80,4352871.2610250,1011110032
-73,4352871.2754092,1011110010
-71,4352871.3822432,1011110013
-70,4352871.4510047,1011110035
-70,4352871.5703371,1011110011
-75,4352871.5725954,1011110005
-77,4352871.6639359,1011110016
-72,4352871.8894053,1011110015
-59,4352872.0476902,1011110006
-78,4352872.0674615,1011120001
-75,4352872.1617162,1011110014
-73,4352873.6712563,1011120002
-52,4352874.1087232,1011110006
-75,4352874.1177127,1011120001
-75,4352874.1373091,1011110020
-77,4352874.1401484,1011110010
-73,4352874.2149169,1011120006
-60,4352874.2432890,1011110011
-76,4352874.3014848,1011120004
-68,4352874.3067422,1011110033
-71,4352874.4255810,1011110034
-71,4352874.4377401,1011110005
-68,4352874.4760325,1011120002
-76,4352874.5416138,1011110032
-64,4352874.6638401,1011110013
-69,4352874.6929996,1011120003
-77,4352874.7479105,1011110029
-74,4352874.7516031,1011110007
-79,4352874.8273337,1011110014
-74,4352874.8340845,1011110019
-60,4352874.9021142,1011110009
-70,4352875.0231287,1011110021
-78,4352875.5591190,1011110016
-69,4352875.8060584,1011110015
