rssi,ts,anchor
-90.0,5645325.3429489,1011110035.0
-88.0,5645325.3998170,1011110001.0
-59.0,5645325.5860035,1011110002.0
-86.0,5645325.6079619,1011110001.0
-76.0,5645325.7934272,1011110003.0
-63.0,5645325.9947300,1011110002.0
-79.0,5645326.2246599,1011110001.0
-90.0,5645326.3701155,1011110035.0
-78.0,5645326.4380536,1011110001.0
-81.0,5645326.6123447,1011110003.0
-77.0,5645326.8117943,1011110003.0
-66.0,5645326.8168421,1011110002.0
-61.0,5645327.2345543,1011110002.0
-81.0,5645327.4181430,1011110003.0
-63.0,5645327.4403000,1011110002.0
-77.0,5645327.6252346,1011110003.0
-79.0,5645327.6625042,1011110001.0
-62.0,5645328.0508349,1011110002.0
-76.0,5645328.2368460,1011110003.0
-65.0,5645328.2536898,1011110002.0
-65.0,5645328.6622555,1011110002.0
-65.0,5645328.8670292,1011110002.0
-80.0,5645329.0581057,1011110003.0
-62.0,5645329.0742960,1011110002.0
-79.0,5645329.2681203,1011110003.0
-66.0,5645329.2743266,1011110002.0
-66.0,5645329.4797654,1011110002.0
-86.0,5645329.6336155,1011110005.0
-79.0,5645329.6711507,1011110003.0
-65.0,5645329.6789808,1011110002.0
-78.0,5645329.7037354,1011110001.0
-76.0,5645329.7955177,1011110004.0
-89.0,5645329.8799441,1011110003.0
-69.0,5645330.2881441,1011110002.0
-81.0,5645330.2906032,1011110003.0
-84.0,5645330.2996511,1011110004.0
-82.0,5645330.5318718,1011110001.0
-68.0,5645330.6963384,1011110002.0
-73.0,5645330.7400813,1011110001.0
-87.0,5645330.8707016,1011110005.0
-74.0,5645330.8977072,1011110002.0
-87.0,5645331.0772822,1011110006.0
-65.0,5645331.1047747,1011110002.0
-88.0,5645331.2782581,1011110006.0
-62.0,5645331.3060927,1011110002.0
-82.0,5645331.3551235,1011110001.0
-68.0,5645331.5099769,1011110002.0
-85.0,5645331.5322113,1011110003.0
-68.0,5645331.7185297,1011110002.0
-71.0,5645331.7354245,1011110003.0
-84.0,5645331.8841896,1011110005.0
-78.0,5645331.9719863,1011110001.0
-73.0,5645332.1493635,1011110003.0
-70.0,5645332.3386726,1011110002.0
-68.0,5645332.5421896,1011110002.0
-76.0,5645332.8119624,1011110004.0
-89.0,5645332.9052160,1011110005.0
-71.0,5645332.9458053,1011110002.0
-72.0,5645332.9757934,1011110003.0
-67.0,5645333.1764891,1011110003.0
-72.0,5645333.3785608,1011110003.0
-74.0,5645333.4085486,1011110001.0
-85.0,5645333.7157276,1011110007.0
-85.0,5645333.8292005,1011110004.0
-91.0,5645333.9601078,1011110006.0
-81.0,5645334.0212779,1011110001.0
-69.0,5645334.2019958,1011110003.0
-64.0,5645334.4037852,1011110003.0
-83.0,5645334.5826831,1011110002.0
-61.0,5645334.6057818,1011110003.0
-86.0,5645334.7762835,1011110035.0
-82.0,5645334.9787624,1011110006.0
-83.0,5645335.0586920,1011110001.0
-62.0,5645335.4237947,1011110003.0
-81.0,5645335.6738451,1011110001.0
-90.0,5645335.7360797,1011110009.0
-77.0,5645335.8811312,1011110001.0
-90.0,5645335.9725220,1011110007.0
-76.0,5645336.0845520,1011110001.0
-86.0,5645336.1783054,1011110005.0
-84.0,5645336.2124369,1011110006.0
-66.0,5645336.2439806,1011110003.0
-82.0,5645336.4152489,1011110006.0
-90.0,5645336.5429733,1011110009.0
-80.0,5645336.8413639,1011110002.0
-75.0,5645337.0423334,1011110002.0
-84.0,5645337.1987982,1011110034.0
-81.0,5645337.3152306,1011110001.0
-80.0,5645337.5209672,1011110001.0
-75.0,5645337.6088417,1011110005.0
-73.0,5645337.6748750,1011110003.0
-80.0,5645337.8789425,1011110003.0
-87.0,5645337.9259048,1011110001.0
-92.0,5645338.0124233,1011110034.0
-83.0,5645338.1314850,1011110001.0
-86.0,5645338.1960981,1011110009.0
-79.0,5645338.2249660,1011110005.0
-81.0,5645338.2433496,1011110006.0
-84.0,5645338.2800450,1011110002.0
-90.0,5645338.4041157,1011110009.0
-74.0,5645338.4382780,1011110007.0
-83.0,5645338.4841125,1011110002.0
-85.0,5645338.5399570,1011110001.0
-80.0,5645338.6358385,1011110005.0
-72.0,5645338.6414025,1011110007.0
-79.0,5645338.8502772,1011110007.0
-86.0,5645338.8738716,1011110035.0
-75.0,5645338.8800664,1011110004.0
-68.0,5645339.0557270,1011110007.0
-72.0,5645339.2426603,1011110005.0
-85.0,5645339.2590735,1011110006.0
-80.0,5645339.3037446,1011110003.0
-77.0,5645339.3890097,1011110004.0
-78.0,5645339.6599233,1011110005.0
-85.0,5645339.7171366,1011110003.0
-79.0,5645339.8678110,1011110005.0
-79.0,5645339.8922565,1011110004.0
-72.0,5645340.0842929,1011110007.0
-83.0,5645340.3271368,1011110003.0
-66.0,5645340.3955691,1011110004.0
-84.0,5645340.5865211,1011110001.0
-90.0,5645340.7102897,1011110013.0
-90.0,5645340.8500977,1011110009.0
-74.0,5645340.9115822,1011110007.0
-97.0,5645341.0464537,1011120002.0
-85.0,5645341.0986793,1011110006.0
-83.0,5645341.3401539,1011110003.0
-68.0,5645341.4037526,1011110004.0
-91.0,5645341.4615760,1011110009.0
-93.0,5645341.5406888,1011110003.0
-85.0,5645341.8743048,1011110009.0
-72.0,5645341.9350357,1011110007.0
-80.0,5645342.1226730,1011110006.0
-80.0,5645342.1246097,1011110005.0
-83.0,5645342.3002155,1011110034.0
-73.0,5645342.3247299,1011110005.0
-70.0,5645342.5298314,1011110005.0
-88.0,5645342.5601296,1011110002.0
-77.0,5645342.7568989,1011110007.0
-88.0,5645342.9002233,1011110009.0
-74.0,5645342.9254436,1011110004.0
-74.0,5645343.1400096,1011110005.0
-79.0,5645343.1412470,1011110006.0
-86.0,5645343.3221209,1011110034.0
-69.0,5645343.3464355,1011110005.0
-66.0,5645343.5484841,1011110005.0
-75.0,5645343.5660579,1011110007.0
-89.0,5645343.7063618,1011110033.0
-90.0,5645343.7702701,1011110007.0
-71.0,5645343.9541433,1011110005.0
-75.0,5645343.9757850,1011110007.0
-81.0,5645344.1248546,1011110009.0
-89.0,5645344.1335499,1011110034.0
-79.0,5645344.1586218,1011110005.0
-87.0,5645344.1919098,1011110002.0
-87.0,5645344.2410769,1011110011.0
-78.0,5645344.3311019,1011110009.0
-77.0,5645344.3641646,1011110005.0
-74.0,5645344.5713224,1011110006.0
-85.0,5645344.5859504,1011110007.0
-79.0,5645344.7944012,1011110007.0
-79.0,5645344.9965067,1011110007.0
-87.0,5645345.1560614,1011110034.0
-71.0,5645345.1898715,1011110005.0
-76.0,5645345.2097762,1011110007.0
-87.0,5645345.3648391,1011110034.0
-71.0,5645345.3859320,1011110006.0
-65.0,5645345.3958981,1011110005.0
-67.0,5645345.5910716,1011110006.0
-68.0,5645345.6057684,1011110005.0
-89.0,5645345.6182952,1011110002.0
-68.0,5645345.8131442,1011110005.0
-84.0,5645345.8454523,1011110035.0
-69.0,5645345.9657488,1011110004.0
-73.0,5645346.0198779,1011110005.0
-80.0,5645346.0228300,1011110007.0
-78.0,5645346.0453176,1011110035.0
-78.0,5645346.0503645,1011110003.0
-85.0,5645346.2263188,1011110002.0
-84.0,5645346.4051468,1011110009.0
-83.0,5645346.6385334,1011110007.0
-83.0,5645346.6419318,1011110002.0
-65.0,5645346.8489172,1011110005.0
-61.0,5645347.0558889,1011110005.0
-76.0,5645347.2161169,1011110009.0
-72.0,5645347.4627202,1011110007.0
-87.0,5645347.4659762,1011110002.0
-81.0,5645347.4858007,1011110035.0
-79.0,5645347.5265598,1011110011.0
-77.0,5645347.6315377,1011110009.0
-88.0,5645347.6724141,1011110002.0
-82.0,5645347.9363914,1011110011.0
-79.0,5645347.9965739,1011110004.0
-80.0,5645348.0887263,1011110003.0
-87.0,5645348.3936250,1011110014.0
-81.0,5645348.4185352,1011110034.0
-91.0,5645348.4490137,1011110009.0
-87.0,5645348.4854150,1011110002.0
-74.0,5645348.5102365,1011110035.0
-89.0,5645348.5408254,1011110011.0
-79.0,5645348.6213188,1011110034.0
-77.0,5645348.6537352,1011110009.0
-89.0,5645348.8112755,1011110019.0
-76.0,5645348.8629963,1011110006.0
-80.0,5645349.1304157,1011110035.0
-76.0,5645349.5462055,1011110035.0
-82.0,5645349.6371491,1011110034.0
-74.0,5645349.6777179,1011110006.0
-83.0,5645349.7077329,1011110005.0
-73.0,5645349.8769944,1011110006.0
-82.0,5645349.9377320,1011110003.0
-85.0,5645350.5762851,1011110015.0
-85.0,5645350.7098749,1011110005.0
-81.0,5645350.9070821,1011110007.0
-76.0,5645351.0898254,1011110009.0
-81.0,5645351.1793177,1011110011.0
-90.0,5645351.2148130,1011120001.0
-86.0,5645351.5101409,1011110007.0
-78.0,5645351.5552602,1011110035.0
-82.0,5645351.6540608,1011110034.0
-85.0,5645351.8048496,1011110015.0
-74.0,5645351.8896804,1011110006.0
-88.0,5645352.0308819,1011110019.0
-83.0,5645352.0464160,1011110014.0
-86.0,5645352.0693617,1011110033.0
-75.0,5645352.1300583,1011110005.0
-81.0,5645352.1658280,1011110035.0
-92.0,5645352.2533205,1011110014.0
-70.0,5645352.3010864,1011110006.0
-73.0,5645352.3287425,1011110005.0
-83.0,5645352.3425326,1011110002.0
-78.0,5645352.3695796,1011110035.0
-86.0,5645352.4566338,1011110014.0
-80.0,5645352.5207906,1011110007.0
-75.0,5645352.5341489,1011110005.0
-86.0,5645352.6404278,1011110019.0
-89.0,5645352.7220173,1011110010.0
-76.0,5645352.9302225,1011110007.0
-78.0,5645353.0435152,1011120001.0
-87.0,5645353.1395531,1011110005.0
-85.0,5645353.2659314,1011110014.0
-76.0,5645353.3209176,1011110009.0
-88.0,5645353.3395717,1011110005.0
-93.0,5645353.4126599,1011110031.0
-87.0,5645353.4886189,1011110033.0
-65.0,5645353.5180106,1011110006.0
-84.0,5645353.5471773,1011110005.0
-91.0,5645353.6067071,1011110023.0
-86.0,5645353.6165881,1011110011.0
-83.0,5645353.6699114,1011110014.0
-73.0,5645353.7256382,1011110009.0
-84.0,5645353.8721657,1011110014.0
-71.0,5645353.9346538,1011110009.0
-72.0,5645354.1453698,1011110007.0
-84.0,5645354.1459932,1011110010.0
-78.0,5645354.1571088,1011110005.0
-80.0,5645354.1831379,1011110013.0
-79.0,5645354.1995566,1011110035.0
-87.0,5645354.2957151,1011110020.0
-74.0,5645354.3501596,1011110007.0
-78.0,5645354.3551943,1011110005.0
-87.0,5645354.3881500,1011110013.0
-80.0,5645354.4193506,1011110011.0
-83.0,5645354.4382985,1011110015.0
-71.0,5645354.5398412,1011110009.0
-75.0,5645354.5565648,1011110007.0
-77.0,5645354.6843212,1011110034.0
-86.0,5645354.7079265,1011110020.0
-83.0,5645354.8653495,1011110019.0
-79.0,5645354.9521694,1011110010.0
-88.0,5645354.9914041,1011110013.0
-78.0,5645355.0142269,1011120003.0
-87.0,5645355.1063006,1011120002.0
-81.0,5645355.1976154,1011110013.0
-86.0,5645355.2184348,1011120003.0
-89.0,5645355.3159397,1011110020.0
-70.0,5645355.3369222,1011110006.0
-89.0,5645355.3466301,1011120006.0
-80.0,5645355.4338756,1011110011.0
-80.0,5645355.4641008,1011110015.0
-71.0,5645355.5410609,1011110006.0
-75.0,5645355.5738721,1011110005.0
-88.0,5645355.7285223,1011110033.0
-81.0,5645355.7531705,1011110009.0
-78.0,5645355.7780118,1011110007.0
-92.0,5645355.8808408,1011110019.0
-85.0,5645355.9119916,1011120002.0
-73.0,5645355.9416618,1011110006.0
-93.0,5645356.0328825,1011120003.0
-71.0,5645356.1425805,1011110006.0
-82.0,5645356.2445941,1011110035.0
-84.0,5645356.2955174,1011120001.0
-74.0,5645356.3452888,1011110006.0
-68.0,5645356.3585391,1011110009.0
-74.0,5645356.5045948,1011110034.0
-85.0,5645356.5304208,1011110033.0
-83.0,5645356.5365081,1011110020.0
-81.0,5645356.5962949,1011110005.0
-72.0,5645356.6227992,1011110013.0
-83.0,5645356.6488652,1011110035.0
-82.0,5645356.7191958,1011120002.0
-65.0,5645356.7615762,1011110009.0
-72.0,5645356.8261335,1011110013.0
-79.0,5645356.9117985,1011110014.0
-74.0,5645356.9502811,1011110006.0
-68.0,5645356.9621663,1011110009.0
-77.0,5645357.0357306,1011110013.0
-82.0,5645357.0445149,1011120003.0
-73.0,5645357.0602832,1011110035.0
-79.0,5645357.1531558,1011110006.0
-82.0,5645357.1640546,1011110009.0
-72.0,5645357.2686834,1011110035.0
-86.0,5645357.3061748,1011110016.0
-75.0,5645357.3603134,1011110006.0
-68.0,5645357.3708005,1011110009.0
-87.0,5645357.4034629,1011110007.0
-91.0,5645357.4582751,1011110021.0
-80.0,5645357.4931543,1011110015.0
-84.0,5645357.5143688,1011110016.0
-92.0,5645357.6073165,1011110007.0
-78.0,5645357.6425898,1011110013.0
-85.0,5645357.7170141,1011110016.0
-77.0,5645357.7218096,1011110034.0
-83.0,5645357.7298343,1011120001.0
-87.0,5645357.8111918,1011110018.0
-90.0,5645357.8179064,1011110002.0
-88.0,5645357.8425553,1011110013.0
-88.0,5645357.8531420,1011120003.0
-68.0,5645357.8829973,1011110035.0
-93.0,5645357.9083955,1011110032.0
-76.0,5645357.9294000,1011110034.0
-85.0,5645358.0163751,1011110007.0
-70.0,5645358.0572159,1011110011.0
-87.0,5645358.1148424,1011110019.0
-86.0,5645358.2354960,1011110005.0
-76.0,5645358.2935834,1011110035.0
-79.0,5645358.3793674,1011110006.0
-85.0,5645358.4199879,1011110010.0
-74.0,5645358.4566324,1011110013.0
-82.0,5645358.5116909,1011110015.0
-78.0,5645358.5974464,1011110009.0
-71.0,5645358.7053854,1011110035.0
-80.0,5645358.7962046,1011110009.0
-75.0,5645358.8253078,1011110010.0
-85.0,5645358.9572537,1011110014.0
-87.0,5645358.9764917,1011110033.0
-75.0,5645359.0334539,1011110010.0
-70.0,5645359.0753450,1011110011.0
-84.0,5645359.1601334,1011110034.0
-78.0,5645359.2399597,1011110010.0
-90.0,5645359.2791193,1011120003.0
-82.0,5645359.3660071,1011110014.0
-90.0,5645359.3704588,1011110016.0
-86.0,5645359.5729487,1011110016.0
-74.0,5645359.6906316,1011110011.0
-73.0,5645359.9302187,1011110015.0
-74.0,5645359.9388597,1011110035.0
-80.0,5645359.9680092,1011110034.0
-76.0,5645359.9916775,1011110014.0
-77.0,5645360.1394083,1011110035.0
-69.0,5645360.2601612,1011110010.0
-84.0,5645360.2653515,1011110013.0
-86.0,5645360.2693901,1011110005.0
-89.0,5645360.3205640,1011110023.0
-78.0,5645360.3773346,1011120001.0
-88.0,5645360.4107225,1011110033.0
-63.0,5645360.4589496,1011110010.0
-84.0,5645360.5385122,1011110004.0
-78.0,5645360.5685928,1011110034.0
-89.0,5645360.6019838,1011110016.0
-74.0,5645360.6563120,1011110006.0
