rssi,ts,anchor
-60,4353262.0139580,1011110002
-74,4353262.0559273,1011110004
-58,4353262.1802070,1011110003
-70,4353262.7451971,1011110001
-83,4353262.8389609,1011110005
-77,4353263.1709244,1011110035
-79,4353265.0286534,1011110035
-75,4353265.1986549,1011110001
-77,4353265.2678759,1011110006
-52,4353265.5172751,1011110002
-66,4353265.6592915,1011110003
-71,4353265.8012996,1011110007
-75,4353266.5165365,1011110005
-72,4353266.6164849,1011110004
-59,4353268.1343994,1011110004
-69,4353268.3565805,1011110006
-67,4353268.5299871,1011110003
-61,4353268.5974412,1011110002
-67,4353269.2868719,1011110001
-70,4353269.3943603,1011110005
-78,4353270.0960054,1011110007
-73,4353270.3689816,1011110035
-71,4353271.0321543,1011110034
-61,4353271.0609305,1011110002
-63,4353271.1164141,1011110007
-79,4353271.4153988,1011110009
-65,4353271.4458699,1011110005
-71,4353271.5403984,1011110001
-82,4353271.5936062,1011110035
-58,4353271.6615975,1011110004
-71,4353271.8099051,1011110003
-80,4353271.8702075,1011110011
-75,4353272.2276611,1011110006
-65,4353274.0524378,1011110003
-58,4353274.0777726,1011110006
-73,4353274.0890496,1011110009
-77,4353274.1123295,1011110034
-70,4353274.1368628,1011110002
-51,4353274.1892538,1011110004
-73,4353274.2243254,1011110033
-48,4353274.3831277,1011110007
-76,4353275.0742383,1011110010
-71,4353276.1141269,1011110035
-79,4353276.1266911,1011110013
-62,4353276.3584809,1011110005
-75,4353276.5753078,1011110011
-71,4353277.0481319,1011110007
-71,4353277.1407473,1011110003
-75,4353277.2357302,1011120001
-71,4353277.3575048,1011110013
-53,4353277.3911901,1011110005
-74,4353277.5112500,1011110010
-78,4353277.5939023,1011120002
-63,4353277.7190030,1011110004
-61,4353277.7743127,1011110009
-73,4353277.8087530,1011110011
-67,4353277.9594791,1011110006
-72,4353278.1283791,1011110015
-58,4353278.1705434,1011110035
-76,4353278.5201583,1011110033
-79,4353278.6144700,1011110034
-78,4353279.3391850,1011120006
-70,4353280.0006847,1011120003
-70,4353280.0178697,1011110009
-67,4353280.0221822,1011110013
-68,4353280.1668570,1011110010
-75,4353280.2585421,1011110011
-74,4353280.3755834,1011110015
-69,4353280.4076324,1011110035
-65,4353280.4153161,1011120003
-71,4353280.4465489,1011110034
-56,4353280.6251781,1011110006
-77,4353281.1838996,1011110033
-72,4353281.2493565,1011110004
-76,4353281.3700891,1011110007
-72,4353281.4375730,1011110014
-59,4353281.4676390,1011110005
-73,4353281.5439470,1011120001
-82,4353281.6817110,1011110019
-72,4353282.0060325,1011110021
-74,4353282.2175519,1011120006
-84,4353282.2222910,1011110026
-68,4353282.6892209,1011120002
-76,4353282.9955394,1011110020
-60,4353283.1233945,1011110034
-75,4353283.1767344,1011110018
-66,4353283.1816242,1011120001
-40,4353283.2313631,1011110010
-72,4353283.2393124,1011110021
-83,4353283.2970140,1011120003
-56,4353283.2991948,1011110013
-78,4353283.3239200,1011110019
-77,4353283.4040065,1011110020
-69,4353283.4442985,1011110015
-57,4353283.4764199,1011110035
-62,4353283.5398409,1011110011
-76,4353283.6904776,1011110022
-69,4353283.8292451,1011110007
-76,4353283.8405380,1011110033
-72,4353283.8976221,1011110009
-67,4353284.1282060,1011120002
-74,4353284.1373532,1011110005
-75,4353284.2463849,1011110016
-81,4353284.3170671,1011110032
-76,4353284.7053742,1011110029
-77,4353284.7125101,1011110006
-76,4353285.0382111,1011120005
-65,4353285.9402337,1011110014
-69,4353286.0744207,1011110007
-75,4353286.1380527,1011110009
-68,4353286.1440070,1011120003
-74,4353286.1470139,1011110014
-76,4353286.2688687,1011110020
-75,4353286.3592868,1011110022
-58,4353286.3921914,1011110011
-61,4353286.4487238,1011120001
-61,4353286.5098982,1011110010
-62,4353286.5401793,1011110035
-55,4353286.5620782,1011110013
-64,4353286.5996850,1011120002
-68,4353286.7179368,1011110033
-59,4353286.8056946,1011110034
-80,4353287.0115640,1011110019
-70,4353287.1613252,1011110006
-74,4353287.5440493,1011110021
-71,4353287.5598874,1011120006
-72,4353287.6190472,1011110023
-68,4353287.9179811,1011110016
-60,4353288.1519599,1011110015
-82,4353288.4870718,1011110018
-75,4353288.6607111,1011110005
-77,4353288.8505497,1011110032
-56,4353289.0143664,1011110014
-52,4353289.0514121,1011110034
-73,4353289.0577371,1011120004
-69,4353289.0589693,1011110032
-63,4353289.1040251,1011120001
-71,4353289.1343591,1011110020
-63,4353289.1641986,1011110010
-57,4353289.1699059,1011110033
-59,4353289.1970265,1011110035
-77,4353289.2245436,1011110022
-61,4353289.2657266,1011120002
-75,4353289.2899120,1011110024
-66,4353289.4040849,1011120003
-70,4353289.4469166,1011110023
-47,4353289.4514911,1011110013
-73,4353289.4882491,1011110011
-72,4353289.6046760,1011120006
-77,4353289.6892548,1011110005
-71,4353289.7157042,1011110018
-75,4353289.7195978,1011110031
-71,4353289.8268125,1011110006
-55,4353290.1999624,1011110015
-77,4353290.2268338,1011110029
-68,4353290.3643768,1011110016
-68,4353290.6974554,1011110019
-62,4353291.0376792,1011110021
-72,4353292.0478549,1011110035
-60,4353292.0917673,1011110014
-70,4353292.1164539,1011110032
-70,4353292.1180091,1011110013
-70,4353292.1342924,1011120004
-58,4353292.1775091,1011120001
-68,4353292.2105317,1011120005
-71,4353292.2375083,1011110015
-53,4353292.2491090,1011110033
-74,4353292.2992289,1011120003
-67,4353292.3012424,1011110034
-61,4353292.3311667,1011110019
-69,4353292.3741188,1011110018
-70,4353292.4141912,1011110016
-70,4353292.4164612,1011110020
-77,4353292.4780540,1011110029
-75,4353292.5119159,1011110023
-75,4353292.5381310,1011120002
-69,4353292.6278262,1011110010
-73,4353292.6893497,1011120006
-81,4353292.7665167,1011110005
-71,4353293.6972206,1011110021
-69,4353293.9101667,1011110026
-74,4353294.1810410,1011110011
-80,4353294.2092829,1011110027
-76,4353294.8404353,1011110025
-79,4353295.0293980,1011110028
-69,4353295.0458620,1011120001
-71,4353295.1079268,1011110015
-63,4353295.1479270,1011110014
-72,4353295.1680541,1011110023
-46,4353295.2382929,1011110018
-71,4353295.2854135,1011120005
-72,4353295.2913132,1011110010
-51,4353295.3303273,1011110033
-60,4353295.3548105,1011120006
-57,4353295.3590696,1011110034
-73,4353295.4359629,1011110024
-68,4353295.5589764,1011110029
-75,4353295.5695329,1011120003
-74,4353295.5886643,1011110022
-73,4353295.6440976,1011110031
-74,4353295.7159104,1011110035
-70,4353295.7994504,1011110032
-79,4353295.8037543,1011120002
-52,4353295.8070226,1011110019
-63,4353295.8419824,1011120004
-80,4353295.8852754,1011110030
-72,4353296.0073624,1011110013
-73,4353296.2158661,1011110011
-60,4353296.5242081,1011110016
-61,4353296.5306714,1011110020
-77,4353296.6766069,1011110027
-73,4353296.8792005,1011110025
-65,4353297.4007325,1011110021
-55,4353298.0494778,1011110032
-73,4353298.1203537,1011110018
-61,4353298.1599159,1011120005
-50,4353298.1655941,1011110020
-58,4353298.2100914,1011110014
-54,4353298.3919833,1011110033
-46,4353298.4591546,1011110019
-60,4353298.6201577,1011110034
-65,4353298.6293075,1011110021
-65,4353298.6796503,1011110013
-69,4353298.9156811,1011110024
-75,4353298.9211392,1011110005
-69,4353298.9877110,1011110016
-78,4353299.0078216,1011110015
-58,4353299.0697639,1011110022
-85,4353299.1384809,1011110025
-59,4353299.2466276,1011120006
-59,4353299.2609422,1011110023
-78,4353299.3120253,1011120004
-85,4353299.3216348,1011110031
-78,4353299.7955325,1011110030
-65,4353299.8254013,1011110035
-74,4353300.0661695,1011120003
-66,4353300.2771089,1011110029
-73,4353300.4362998,1011110010
-67,4353300.4789927,1011110026
-77,4353300.5045917,1011110011
-76,4353300.5482607,1011120001
-62,4353301.0188303,1011110020
-72,4353301.0203841,1011120005
-55,4353301.0770729,1011110021
