anchor,x,y
1004110023.0,11.98262029479279,-52.03067412525526
1004110011.0,11.983823712598317,-51.4734217943919
1004110108.0,11.36837230620352,-32.08711976838543
1004110110.0,12.318377500926594,-36.82689142162684
1004110019.0,15.293898619259322,-38.111702645297655
1004120002.0,16.730225805999932,-37.78489910008426
1004110021.0,14.97732095036427,-36.76772111099041
1004110020.0,15.248957358819071,-37.9437577037982
1004120003.0,16.05749631231226,-34.52896898384642
1004120004.0,15.358334363766687,-31.037161409888178
1004110109.0,14.540541334192172,-34.406799766569094
1004120005.0,14.710664113028514,-27.620110405214632
1004110111.0,12.169355057401942,-37.19893772965603
1004110107.0,10.417395048098545,-27.362567857348747
1004110106.0,9.499702667363806,-22.642484964705318
1004110105.0,8.542130903338279,-17.910808823066017
1004110104.0,7.602784751047688,-13.175592213732093
1004110055.0,2.0259022028183087,28.82079829606817
1004110056.0,1.9903634251272146,28.94669432317081
1004110057.0,1.5402464006787175,31.205403862776336
1004120007.0,2.5325028190746357,32.76222620045701
1004110059.0,1.0928019080741849,33.564235322327974
1004110100.0,-3.3732890457839413,43.85554659670342
1004110097.0,-4.840695167947896,48.57173819595088
1004110096.0,-7.515918799902685,47.965217938429404
1004110068.0,-5.6673054954318145,52.74473068781466
1004110069.0,-8.37066723421041,52.128182581214126
1004110072.0,-13.447515159909296,53.84841162994324
1004110071.0,-13.61309579337105,53.96009674553791
1004120011.0,-6.105579504359767,18.235896982502055
1004120010.0,-6.595680248751691,20.586440004126928
1004120009.0,-7.060607043610217,22.86440677988461
1004120008.0,-7.655527095601852,25.92499619411161
1004110091.0,-4.444045725436928,17.498083760065946
1004110090.0,-4.88298009316645,19.746251754283985
1004110088.0,-5.394409287969232,22.09264870103
1004110087.0,-5.427574925747835,22.26327393330038
1004110086.0,-5.845999966772846,24.472810467751945
1004110085.0,-5.845101130249794,24.63899014999235
1004110084.0,-6.082309510166289,25.688514881225945
1004110082.0,-6.533900193355271,28.068675737767123
1004110083.0,-6.492142776629143,27.910787576374812
1004110001.0,8.557828491305774,-56.39869201141588
1004110003.0,7.623506633569101,-51.54339466805913
1004110004.0,7.116182800121826,-49.023538783036585
1004110005.0,6.628407889226333,-46.51415088902303
1004110006.0,6.1092779767433125,-43.957094933859
1004110007.0,5.6112088742588435,-41.60801314346299
1004110008.0,5.148549587515104,-39.12760287174518
1004110010.0,12.697117572214275,-55.406791385286986
1004120001.0,14.55574187296492,-53.29690895682795
1004110012.0,11.870777476894585,-49.36579275466471
1004110015.0,10.30730001092561,-41.95667330353136
1004110014.0,10.131666253886497,-42.2596935016884
