anchor,x,y
1010110079.0,-6.804770035613029,30.507061676289606
1010110003.0,5.914191221197551,-50.71757092588942
1010110005.0,2.0887135579289575,-48.652007584387256
1010110006.0,1.3415235643493213,-45.88466679161618
1010110007.0,1.17699531413734,-43.531793376963996
1010110008.0,1.021051028604244,-41.16904889463564
1010110009.0,0.8387142001896077,-38.82669422542166
1010110011.0,1.1411640837376613,-29.35453005743835
1010110019.0,5.83344476876443,-22.076912465607194
1010110021.0,6.792023269412998,-17.344461457134223
1010110022.0,6.43826793455568,-12.423400556355807
1010110023.0,6.280947903096471,-10.01567564277045
1010110024.0,6.100109073623766,-7.587507042376147
1010110025.0,5.953011096960533,-5.168024396224265
1010110026.0,5.772940937034671,-2.7508477815425314
1010110027.0,5.614083560633678,-0.3211445108936244
1010110029.0,5.275925224568513,4.514741801043667
1010110030.0,5.108383144161425,6.91070234690789
1010110036.0,3.4110548479076783,31.78460627584283
1010110033.0,2.442144633325241,21.633194060557816
1010110034.0,2.161414379138597,24.60428462619226
1010110043.0,2.4816056798758086,-52.04636779155506
1010110044.0,0.1037878380846983,-52.13487298071054
1010110046.0,-2.482248850712731,-45.32707982907938
1010110047.0,-2.6590134481006418,-42.79921562769347
1010110048.0,-2.8350093700936116,-40.282343014606134
1010110049.0,-3.011772916286,-37.754480685332496
1010110050.0,-3.1628963328947184,-35.25404830128497
1010110051.0,-3.3151415374103594,-32.33540311048688
1010110052.0,-3.6226295189257507,-28.088696121780494
1010110055.0,-3.3044420161575627,-20.7443153890147
1010110056.0,-3.4680210982179958,-18.278907418737873
1010110057.0,-3.639206116444695,-15.83084124355191
1010110058.0,-3.819779453987953,-13.374615037825683
1010110059.0,-3.999429333078213,-10.301111355852427
1010110060.0,-4.20988284047377,-7.29148475958686
1010110061.0,-4.433506121580408,-4.221112061142561
1010110001.0,6.268931928315898,-56.295233027054756
1010110002.0,6.078691660781961,-53.477039657227465
1010110004.0,4.114105110806428,-49.49571513943183
1010110010.0,0.333702177892099,-35.19608617779687
1010110012.0,3.185088292621336,-29.23112368406043
1010110014.0,1.0017591462666036,-26.66136109455809
1010110067.0,-2.680055177698237,23.132712401024243
1010110015.0,1.1044623932684074,-26.356922397448244
1010110016.0,3.3153850989742524,-26.16968952292305
1010110017.0,3.4945905635926318,-25.887110659879596
1010110074.0,-3.9929016398850257,15.740588977815465
1010110075.0,-4.242612090842984,18.38187393249057
1010110077.0,-4.785252409801214,25.555505913080594
1010110076.0,-4.520507430066834,22.210928913794774
1010110078.0,-4.966186210914988,28.158227899487194
1010110080.0,-6.976997620494124,33.0961162977915
1010110081.0,-7.138973766813449,35.67658902747215
1010110082.0,-7.30251927056017,37.99777560435028
1010110083.0,-5.800461462420391,41.81043912673922
1010110084.0,-6.041611563317094,45.25901330612201
1010110085.0,-6.306269444411639,48.85642525137591
1010110086.0,-6.556937984793856,52.46187150331567
1010110088.0,-3.54996699836854,36.70808333798932
1010110089.0,-3.873851083184243,41.58203726060705
1010110090.0,-4.188942901398905,46.41888218844163
1010110091.0,-4.55329964105353,51.29855242000523
1010110092.0,-4.870922577263039,56.160153444668246
1010120001.0,3.569279445540973,-47.47563552478358
1010120002.0,3.77115318572961,18.387569542329764
1010120003.0,3.42692626136401,21.5439295890441
1010120004.0,-4.810948685506776,11.735367056725842
1010120005.0,-5.025172106076477,15.240478422221098
1010120006.0,-5.276569967081635,18.83562255806657
1010120007.0,-5.475752561935953,22.125636766258246
1010120008.0,-5.55798179656136,25.536975545553023
1010120009.0,-6.999911453291541,43.4804366229683
1010120010.0,-7.255380923509773,47.156144872000326
1010120011.0,-7.377646268579405,50.64856489806563
1010120012.0,-7.811261854183874,54.20007340975318
1010110018.0,6.037965581562744,-25.25415013926876
1010110020.0,5.617475695482692,-18.94202163924281
1010110068.0,-2.970815443931724,28.329746935989288
1010110069.0,-3.2208611765524457,31.873311082573775
1010110070.0,-4.8557846804395925,1.881332989788524
1010110071.0,-5.048524054944788,4.933904943969823
1010110031.0,3.0178001585372436,12.19219891689432
1010110032.0,2.626903964482231,18.67480623294531
1010110035.0,3.8199983570488176,26.00512892901852
1010110037.0,1.377701091303368,7.803318878834774
1010110038.0,1.028185267461856,12.18518611706865
1010110039.0,0.6572200270650725,18.299073426538843
1010110040.0,0.3985955798949792,23.34741270568565
1010110041.0,-0.037547970117768746,28.570068610072006
1010110042.0,-0.2729778743493277,32.099346521369114
1010110045.0,-2.2756240225608853,-47.764737104688614
1010110053.0,-3.8395188985359443,-25.65500640631602
1010110054.0,-3.12973106445958,-23.21222980158498
1010110062.0,-0.9503675407852477,-1.4148192748574162
1010110063.0,-1.2257716431150243,2.7157940191825296
1010110064.0,-1.5839894857172483,7.591226753265512
1010110065.0,-1.8469578587596236,11.963908427418122
1010110066.0,-2.3425747428589108,18.07988252975067
1010110028.0,5.434782076102757,2.085040061584284
1010110013.0,4.574422277617753,-27.28956709787692
1010110072.0,-5.180422223900591,6.838401475363514
1010110073.0,-3.6769561471025827,11.619392224794183
1010110087.0,-6.78587009861667,55.91525662527254
1010110195.0,4.961343930643706,9.337534193169692
