rssi,ts,anchor
-59,4352730.2899263,1011110003
-70,4352730.3201597,1011110004
-47,4352730.3517766,1011110002
-75,4352730.4398229,1011110005
-76,4352732.0057282,1011110001
-77,4352732.2750444,1011110007
-81,4352733.2874277,1011110035
-63,4352733.3748324,1011110003
-51,4352733.4272621,1011110002
-62,4352733.4414525,1011110001
-71,4352733.6023412,1011110009
-76,4352733.7231278,1011110007
-78,4352733.9017861,1011110035
-73,4352734.3679092,1011110006
-72,4352735.9948971,1011110005
-66,4352736.3760746,1011110004
-72,4352736.5960472,1011110005
-46,4352736.6721575,1011110003
-71,4352736.7159004,1011110002
-62,4352736.9888625,1011110007
-71,4352737.1693478,1011110035
-72,4352737.3182523,1011110001
-73,4352737.6425955,1011110006
-78,4352738.0412500,1011110013
-75,4352738.8483152,1011110011
-67,4352739.3908379,1011110002
-53,4352739.4092462,1011110004
-53,4352739.4491277,1011110007
-74,4352739.5250571,1011110009
-80,4352739.5342543,1011110033
-70,4352739.6450379,1011110035
-67,4352739.6626561,1011110005
-70,4352739.9020865,1011110006
-73,4352739.9533031,1011110003
-72,4352740.5908763,1011110001
-77,4352741.9998205,1011110034
-57,4352742.3146682,1011110007
-77,4352742.3252523,1011110021
-59,4352742.3288362,1011110005
-76,4352742.3309944,1011110011
-74,4352742.3916450,1011110009
-70,4352742.4050107,1011110034
-74,4352742.4102793,1011110033
-70,4352742.4151938,1011110003
-57,4352742.4555070,1011110004
-54,4352742.5608804,1011110006
-66,4352743.1260760,1011110035
-79,4352743.3184695,1011110010
-79,4352743.6099255,1011110019
-75,4352743.7651825,1011110013
-75,4352744.0108924,1011120001
-77,4352744.3003323,1011110002
-78,4352744.4902556,1011110015
-79,4352745.3610649,1011110010
-64,4352745.3809090,1011110035
-75,4352745.3854234,1011110011
-73,4352745.4701791,1011110009
-65,4352745.6020122,1011110007
-76,4352745.6319461,1011120002
-74,4352745.8587439,1011110019
-60,4352746.0158312,1011110005
-78,4352746.0778320,1011120001
-72,4352746.0810411,1011110034
-79,4352746.1690590,1011120003
-57,4352746.2609079,1011110006
-76,4352746.5180762,1011110003
-79,4352746.9191132,1011110033
-77,4352747.2221625,1011110021
-70,4352747.2501256,1011110013
-76,4352747.5098794,1011110004
-78,4352747.7624388,1011110015
-72,4352748.3225791,1011110009
-74,4352748.3252511,1011110034
-68,4352748.3284433,1011110014
-70,4352748.4409959,1011110035
-56,4352748.8628256,1011110005
-72,4352748.8715136,1011110007
-74,4352748.8959377,1011110013
-67,4352748.9300237,1011120001
-74,4352749.1588521,1011110019
-64,4352749.2584691,1011110011
-55,4352749.3401918,1011110006
-71,4352749.4575958,1011120003
-77,4352749.5310051,1011110004
-77,4352749.8021617,1011110015
-70,4352750.2523501,1011120006
-81,4352750.2675312,1011110002
-73,4352750.2778754,1011110010
-72,4352750.7309628,1011120002
